datum,exchange,ticker,score,price,rsi_monthly,rsi_label,macd_label,rr_pct,rr_label,support,support_label,resistance,stop,div_yield,div_label
2026-06-23,042 Parijs,BIM.PA,4,66.6,28.7,✓ oververkocht (28.7),✗ neutraal (-6.326),90.0,✓ 90.0% opwaarts (ratio 17.2:1),66.6,✓ 0.0% boven bodem (66.60),126.56,63.12,146.0,✓ 146.00%
2026-06-23,042 Parijs,CAP.PA,4,88.66,31.9,✓ oververkocht (31.9),✗ neutraal (-16.744),65.9,✓ 65.9% opwaarts (ratio 7.2:1),87.82,✓ 1.0% boven bodem (87.82),147.12,80.6,387.0,✓ 387.00%
2026-06-23,042 Parijs,TEP.PA,4,53.58,37.3,✓ oververkocht (37.3),✓ histogram ↑ (0.544),56.5,✓ 56.5% opwaarts (ratio 6.3:1),42.91,✗ 24.9% boven bodem (42.91),83.84,48.81,848.0,✓ 848.00%
2026-06-23,042 Parijs,RI.PA,4,64.48,26.0,✓ oververkocht (26.0),✓ histogram ↑ (0.369),55.1,✓ 55.1% opwaarts (ratio 10.7:1),59.94,✗ 7.6% boven bodem (59.94),100.02,61.16,740.0,✓ 740.00%
2026-06-23,042 Parijs,RMS.PA,4,1605.0,34.5,✓ oververkocht (34.5),✗ neutraal (-116.780),52.6,✓ 52.6% opwaarts (ratio 6.9:1),1564.0,✓ 2.6% boven bodem (1564.00),2449.32,1481.82,111.0,✓ 111.00%
2026-06-23,042 Parijs,RCO.PA,4,43.74,34.1,✓ oververkocht (34.1),✓ histogram ↑ (2.425),39.1,✓ 39.1% opwaarts (ratio 5.4:1),34.88,✗ 25.4% boven bodem (34.88),60.85,40.55,337.0,✓ 337.00%
2026-06-23,042 Parijs,ITP.PA,4,25.18,36.7,✓ oververkocht (36.7),✓ bullish crossover,33.0,✓ 33.0% opwaarts (ratio 5.5:1),21.33,✗ 18.0% boven bodem (21.33),33.5,23.66,417.0,✓ 417.00%
2026-06-23,042 Parijs,DSY.PA,3,17.43,28.4,✓ oververkocht (28.4),✗ neutraal (-4.837),82.9,✓ 82.9% opwaarts (ratio 10.7:1),15.75,✗ 10.7% boven bodem (15.75),31.87,16.09,159.0,✓ 159.00%
2026-06-23,042 Parijs,SK.PA,3,49.66,38.6,✓ oververkocht (38.6),✗ neutraal (-10.307),61.1,✓ 61.1% opwaarts (ratio 9.1:1),39.35,✗ 26.2% boven bodem (39.35),80.0,46.31,566.0,✓ 566.00%
2026-06-23,042 Parijs,CDI.PA,3,446.8,39.0,✓ oververkocht (39.0),✗ neutraal (-45.528),33.4,✓ 33.4% opwaarts (ratio 5.3:1),412.47,✗ 8.3% boven bodem (412.47),596.16,418.61,321.0,✓ 321.00%
2026-06-23,042 Parijs,MC.PA,3,483.7,40.1,✓ herstel (40.1 ↑),✗ neutraal (-48.803),32.7,✓ 32.7% opwaarts (ratio 4.9:1),433.72,✗ 11.5% boven bodem (433.72),641.64,451.47,270.0,✓ 270.00%
2026-06-23,042 Parijs,ANTIN.PA,3,9.02,42.8,✗ neutraal (42.8),✗ neutraal (-0.353),32.5,✓ 32.5% opwaarts (ratio 6.1:1),8.81,✓ 2.4% boven bodem (8.81),11.95,8.54,764.0,✓ 764.00%
2026-06-23,042 Parijs,TRI.PA,3,133.6,47.8,✗ neutraal (47.8),✗ neutraal (8.043),31.4,✓ 31.4% opwaarts (ratio 4.5:1),133.6,✓ 0.0% boven bodem (133.60),175.54,124.31,295.0,✓ 295.00%
2026-06-23,042 Parijs,SGO.PA,3,77.32,50.5,✓ herstel (50.5 ↑),✗ neutraal (1.389),28.9,✓ 28.9% opwaarts (ratio 5.2:1),66.05,✗ 17.1% boven bodem (66.05),99.64,73.02,294.0,✓ 294.00%
2026-06-23,042 Parijs,ERF.PA,3,65.24,56.7,✓ momentum (56.7 ↑),✓ histogram ↑ (0.357),10.8,✗ 10.8% / ratio 2.4:1,56.08,✗ 16.3% boven bodem (56.08),72.26,62.37,113.0,✓ 113.00%
